valor_frete,cidade_cliente,estado_cliente,cidade_vendedor,estado_vendedor
133.85,japeri,RJ,itaquaquecetuba,SP
133.84,maceio,AL,uba,MG
133.81,belem,PA,itaquaquecetuba,SP
133.73,salvador,BA,ibitinga,SP
133.72,fortaleza,CE,porto ferreira,SP
133.69,barreiras,BA,sao bernardo do campo,SP
133.69,juina,MT,sao bernardo do campo,SP
133.69,juina,MT,sao bernardo do campo,SP
133.52,rio claro,SP,lages,SC
133.48,sao pedro da uniao,MG,sao paulo,SP
133.47,vitoria da conquista,BA,sao bernardo do campo,SP
133.39,macapa,AP,amparo,SP
133.37,joao pessoa,PB,curitiba,PR
133.3,cuiaba,MT,santo andre,SP
133.27,rio de janeiro,RJ,juiz de fora,MG
133.15,grajau,MA,sao paulo,SP
132.95,lavras da mangabeira,CE,valinhos,SP
132.94,caucaia,CE,curitiba,PR
132.76,parnaiba,PI,itaquaquecetuba,SP
132.62,sao paulo,SP,sombrio,SC
132.51,sao borja,RS,itatiba,SP
132.38,varzea paulista,SP,videira,SC
132.28,casca,RS,itatiba,SP
132.19,macae,RJ,lauro de freitas,BA
132.15,porto alegre,RS,sombrio,SC
131.73,aracaju,SE,caxias do sul,RS
131.63,belem,PA,bariri,SP
131.19,iaciara,GO,ribeirao preto,SP
131.01,belem,PA,muqui,ES
130.98,patos de minas,MG,california,PR
130.46,monte carmelo,MG,lages,SC
130.18,imbuia,SC,mogi guacu,SP
129.84,itumbiara,GO,piracicaba,SP
129.84,itumbiara,GO,piracicaba,SP
129.75,recife,PE,rio de janeiro,RJ
129.75,recife,PE,rio de janeiro,RJ
129.75,recife,PE,rio de janeiro,RJ
129.74,recife,PE,mogi guacu,SP
129.54,feliz,RS,mogi das cruzes,SP
129.42,brasilia,DF,piracicaba,SP
128.47,porto seguro,BA,videira,SC
128.44,mineiros,GO,claudio,MG
128.17,itajuba,MG,sombrio,SC
127.88,videira,SC,divinopolis,MG
127.88,videira,SC,divinopolis,MG
127.88,videira,SC,divinopolis,MG
127.82,fortaleza,CE,brejao,PE
127.55,goiania,GO,limeira,SP
127.52,boa esperanca,RJ,suzano,SP
127.51,recife,PE,apucarana,PR
127.41,parnaiba,PI,videira,SC
127.25,belo horizonte,MG,ibitinga,SP
127.25,belo horizonte,MG,ibitinga,SP
127.22,salvador,BA,mogi guacu,SP
127.1,juiz de fora,MG,rio de janeiro,RJ
126.91,maringa,PR,videira,SC
126.91,maringa,PR,videira,SC
126.82,barra mansa,RJ,suzano,SP
126.78,alfenas,MG,curitiba,PR
126.66,sobral,CE,curitiba,PR
126.65,campo grande,MS,araguari,MG
126.65,lages,SC,jaboticabal,SP
126.51,curitiba,PR,bofete,SP
126.51,angra dos reis,RJ,bofete,SP
126.47,presidente prudente,SP,bofete,SP
126.44,rio de janeiro,RJ,londrina,PR
126.44,juiz de fora,MG,londrina,PR
126.38,rio de janeiro,RJ,sao  jose dos pinhais,PR
126.29,caxambu,MG,videira,SC
126.19,itamaraju,BA,curitiba,PR
126.11,campos dos goytacazes,RJ,santo antonio de posse,SP
125.99,niteroi,RJ,ribeirao preto,SP
125.99,belo horizonte,MG,ribeirao preto,SP
125.97,fortaleza,CE,araraquara,SP
125.84,fortaleza,CE,uba,MG
125.78,volta redonda,RJ,joinville,SC
125.77,itirucu,BA,itatiba,SP
125.66,aracaju,SE,uba,MG
125.66,aracaju,SE,uba,MG
125.55,fortaleza,CE,sao paulo,SP
125.47,santos,SP,nova trento,SC
125.14,santos,SP,uba,MG
125.05,araujos,MG,luiz alves,SC
125.04,rondonopolis,MT,sao paulo,SP
124.99,pianco,PB,paincandu,PR
124.92,macae,RJ,itatiba,SP
124.89,rio claro,SP,caxias do sul,RS
124.76,goiania,GO,caieiras,SP
124.76,goiania,GO,caieiras,SP
124.76,goiania,GO,caieiras,SP
124.76,sao goncalo,RJ,caieiras,SP
124.74,nova iguacu,RJ,sao miguel d'oeste,SC
124.54,estancia,SE,belo horizonte,MG
124.54,estancia,SE,belo horizonte,MG
124.45,piracanjuba,GO,limeira,SP
124.45,rio de janeiro,RJ,limeira,SP
124.39,palmas,TO,sao paulo,SP
124.07,ibirama,SC,guarulhos,SP
123.95,juiz de fora,MG,mogi guacu,SP
123.8,lagoa da confusao,TO,rio de janeiro,RJ
123.74,rio de janeiro,RJ,divinopolis,MG
123.59,tangara da serra,MT,sao paulo,SP
123.52,juazeiro do norte,CE,itaquaquecetuba,SP
123.44,teresina,PI,lages,SC
123.44,lavras,MG,ibitinga,SP
123.02,pereira barreto,SP,londrina,PR
122.93,tatui,SP,sao paulo,SP
122.54,pelotas,RS,laranjal paulista,SP
122.44,quixada,CE,guarulhos,SP
122.32,curitiba,PR,sao paulo,SP
122.25,recife,PE,dois corregos,SP
121.95,niteroi,RJ,piracicaba,SP
121.95,concordia do para,PA,americana,SP
121.76,fortaleza,CE,pedreira,SP
121.73,brasilia,DF,atibaia,SP
121.58,rio de janeiro,RJ,itapevi,SP
121.22,taquara,RS,lages,SC
121.22,teresopolis,RJ,sao bernardo do campo,SP
121.22,caputira,MG,baependi,MG
121.22,santa maria,RS,uberlandia,MG
121.22,guarapuava,PR,florianopolis,SC
121.22,erechim,RS,atibaia,SP
121.2,cuiaba,MT,itaquaquecetuba,SP
121.2,martins soares,MG,lages,SC
121.05,sao paulo,SP,pinhais,PR
121.05,sao paulo,SP,pinhais,PR
120.96,ourinhos,SP,fortaleza,CE
120.91,belem,PA,fortaleza,CE
120.91,rio de janeiro,RJ,fortaleza,CE
120.79,rio de janeiro,RJ,caxias do sul,RS
120.78,parauapebas,PA,ilicinea,MG
120.61,tucurui,PA,curitiba,PR
120.19,belo horizonte,MG,uba,MG
119.99,cacapava,SP,rio de janeiro,RJ
119.99,cacapava,SP,rio de janeiro,RJ
119.84,rio de janeiro,RJ,ilicinea,MG
119.63,rio de janeiro,RJ,uba,MG
119.56,mirai,MG,novo horizonte,SP
119.51,curvelo,MG,itaquaquecetuba,SP
119.5,caico,RN,mogi guacu,SP
119.35,aracaju,SE,belo horizonte,MG
119.29,rio de janeiro,RJ,uba,MG
119.29,araxa,MG,uba,MG
118.87,iati,PE,sao paulo,SP
118.73,maceio,AL,mogi guacu,SP
118.66,juazeiro do norte,CE,sao paulo,SP
118.6,jacinto machado,SC,arapongas,PR
118.53,aguas formosas,MG,videira,SC
118.47,sao paulo,SP,videira,SC
118.33,patos,PB,salto,SP
118.23,recife,PE,mogi guacu,SP
118.06,confresa,MT,curitiba,PR
117.99,vitoria,ES,sao paulo,SP
117.99,rio de janeiro,RJ,sao paulo,SP
117.99,campo grande,MS,sao paulo,SP
117.54,salvador,BA,terra boa,PR
117.44,ananindeua,PA,mogi guacu,SP
117.35,marialva,PR,francisco beltrao,PR
117.02,palmas,TO,mogi guacu,SP
116.94,sao bento do sul,SC,bauru,SP
116.88,salgueiro,PE,mogi guacu,SP
116.87,capao do leao,RS,sao paulo,SP
116.83,nova friburgo,RJ,jundiai,SP
116.7,rio de janeiro,RJ,mogi das cruzes,SP
116.31,vitoria,ES,bento goncalves,RS
116.3,niteroi,RJ,sombrio,SC
116.24,cabo de santo agostinho,PE,curitiba,PR
116.22,salvador,BA,rio de janeiro,RJ
116.06,sao fidelis,RJ,videira,SC
116.02,guarulhos,SP,videira,SC
115.77,sao luis,MA,itaquaquecetuba,SP
115.74,sao paulo,SP,sao paulo,SP
115.63,ariquemes,RO,guarulhos,SP
115.53,goiania,GO,claudio,MG
115.49,governador valadares,MG,amparo,SP
115.49,patrocinio,MG,amparo,SP
115.47,teresina,PI,sao paulo,SP
115.43,governador valadares,MG,brasilia,DF
115.21,parnamirim,PE,sao paulo,SP
115.15,rio de janeiro,RJ,fortaleza,CE
115.14,aparecida do taboado,MS,joinville,SC
115.14,campo grande,MS,joinville,SC
115.12,curitiba,PR,ibitinga,SP
114.9,icatu,MA,santa barbara d´oeste,SP
114.62,sao felix do xingu,PA,cariacica,ES
114.56,campo grande,MS,belo horizonte,MG
114.42,angra dos reis,RJ,videira,SC
114.39,tres rios,RJ,sao paulo,SP
114.2,porto velho,RO,sao paulo,SP
114.08,santa maria,RS,brusque,SC
113.72,aracaju,SE,araraquara,SP
113.72,parelhas,RN,araraquara,SP
113.72,graccho cardoso,SE,araraquara,SP
113.72,nossa senhora do socorro,SE,araraquara,SP
113.67,brasilia,DF,curitiba,PR
113.67,sao paulo,SP,caxias do sul,RS
113.65,canavieiras,BA,videira,SC
113.45,sao paulo,SP,rio de janeiro,RJ
113.45,joao pessoa,PB,araraquara,SP
113.38,alfenas,MG,uba,MG
113.02,rio de janeiro,RJ,porto alegre,RS
113.01,cabo frio,RJ,sao francisco do sul,SC
112.99,sao paulo,SP,itaquaquecetuba,SP
112.63,cachoeira do sul,RS,sao paulo,SP
112.44,malacacheta,MG,piracicaba,SP
112.43,lauro de freitas,BA,jacarei,SP
112.43,lauro de freitas,BA,uberlandia,MG
112.37,santa maria,RS,sao paulo,SP
112.15,aguas de lindoia,SP,claudio,MG
112.15,aguas de lindoia,SP,claudio,MG
112.1,juiz de fora,MG,itatiba,SP
111.47,salvador,BA,guarulhos,SP
111.44,alto santo,CE,sao bernardo do campo,SP
111.38,sao paulo,SP,varginha,MG
111.38,sao paulo,SP,varginha,MG
111.38,sao paulo,SP,varginha,MG
111.22,granja,CE,sao paulo,SP
111.22,osorio,RS,lauro de freitas,BA
111.21,guarulhos,SP,londrina,PR
111.2,picos,PI,sao paulo,SP
111.2,vilhena,RO,sao paulo,SP
110.82,humildes,BA,santa barbara d´oeste,SP
110.78,russas,CE,barretos,SP
110.67,santo andre,SP,rio de janeiro,RJ
110.61,cocal do sul,SC,recife,PE
110.56,paulinia,SP,uba,MG
110.52,teresina,PI,sao paluo,SP
110.43,santa cruz do capibaribe,PE,guarulhos,SP
110.43,santa cruz do capibaribe,PE,guarulhos,SP
110.32,altamira,PA,sao bento do sul,SC
110.26,ponte nova,MG,sao bernardo do campo,SP
110.14,matao,SP,uba,MG
110.04,ecoporanga,ES,claudio,MG
110.03,fortaleza,CE,vicosa,MG
109.96,encantado,RS,recife,PE
109.94,sobral,CE,rodeio,SC
109.87,patos de minas,MG,caxias do sul,RS
109.85,brasilia,DF,cafelandia,SP
109.73,rio de janeiro,RJ,sao paulo,SP
109.71,recife,PE,vicosa,MG
109.55,engenheiro navarro,MG,londrina,PR
109.39,jundiai,SP,londrina,PR
109.3,sao paulo,SP,divinopolis,MG
108.96,canaa dos carajas,PA,juiz de fora,MG
108.92,iacu,BA,itaquaquecetuba,SP
108.85,conceicao do coite,BA,itaquaquecetuba,SP
108.74,rio grande,RS,brasilia,DF
108.63,sao luis,MA,sao paulo,SP
108.61,sao luis,MA,santo andre,SP
108.47,sao vicente ferrer,MA,timbo,SC
108.37,luis eduardo magalhaes,BA,baependi,MG
108.36,xapuri,AC,itaquaquecetuba,SP
108.32,porto alegre,RS,uberlandia,MG
108.15,sao paulo,SP,sao paulo,SP
108.15,sao paulo,SP,sao paulo,SP
108.07,serra talhada,PE,sao paulo,SP
108.04,santana de parnaiba,SP,timoteo,MG
107.95,macae,RJ,anapolis,GO
107.87,teresina,PI,sao jose dos campos,SP
107.63,lagoa do carro,PE,videira,SC
107.6,rondon do para,PA,sao paulo,SP
107.6,rondon do para,PA,sao paulo,SP
107.6,rondon do para,PA,sao paulo,SP
107.43,garuva,SC,teresopolis,RJ
107.36,duque de caxias,RJ,itatiba,SP
107.3,fortaleza,CE,ilicinea,MG
107.26,macae,RJ,porto ferreira,SP
107.23,teresina,PI,limeira,SP
107.12,juiz de fora,MG,itaquaquecetuba,SP
107.12,juiz de fora,MG,itaquaquecetuba,SP
107.02,maringa,PR,ilicinea,MG
106.95,sao luiz gonzaga,RS,borda da mata,MG
106.89,maceio,AL,vicosa,MG
106.77,canoas,RS,teresopolis,RJ
106.67,morro da fumaca,SC,mogi guacu,SP
106.63,sao vicente,SP,rolandia,PR
106.63,sao paulo,SP,rolandia,PR
106.43,macae,RJ,curitiba,PR
106.39,ribeirao preto,SP,guarulhos,SP
106.31,rio de janeiro,RJ,bento goncalves,RS
106.31,rio de janeiro,RJ,bento goncalves,RS
106.23,ouricuri,PE,divinopolis,MG
106.21,cedro,CE,minas gerais,MG
106.11,cotia,SP,divinopolis,MG
105.96,sao paulo,SP,curitiba,PR
105.96,suzano,SP,curitiba,PR
105.84,irai de minas,MG,sao paulo,SP
105.84,teresopolis,RJ,mogi guacu,SP
105.76,redencao,CE,sao paulo,SP
105.7,missal,PR,mogi guacu,SP
105.62,campo grande,MS,mogi guacu,SP
105.54,jacarei,SP,lages,SC
105.48,sao paulo,SP,rolandia,PR
105.46,aracaju,SE,bady bassitt,SP
105.44,porto velho,RO,novo horizonte,SP
105.38,paragominas,PA,itaquaquecetuba,SP
105.38,paragominas,PA,itaquaquecetuba,SP
105.33,paracambi,RJ,rio de janeiro,RJ
105.32,bela vista do paraiso,PR,ibitinga,SP
105.19,teresina,PI,itaquaquecetuba,SP
105.14,bage,RS,bauru,SP
105.13,florianopolis,SC,mogi guacu,SP
105.12,caxias do sul,RS,sao paulo,SP
105.07,arapiraca,AL,ilicinea,MG
105.07,araguana,MA,ilicinea,MG
104.99,santo antonio do pinhal,SP,teresopolis,RJ
104.98,guaruja,SP,lages,SC
104.94,castanhal,PA,sao jose do rio preto,SP
104.93,rio de janeiro,RJ,mogi guacu,SP
104.93,rio de janeiro,RJ,mogi guacu,SP
104.81,rio de janeiro,RJ,fortaleza,CE
104.8,serra,ES,lages,SC
104.77,novo hamburgo,RS,sorocaba,SP
104.77,goiania,GO,sorocaba,SP
104.77,goiania,GO,sorocaba,SP
104.77,belo horizonte,MG,sorocaba,SP
104.73,sao paulo,SP,curitiba,PR
104.73,recife,PE,maringa,PR
104.73,belem,PA,maringa,PR
104.72,gaspar,SC,sao paulo,SP
104.66,alta floresta,MT,mogi das cruzes,SP
104.51,nova lima,MG,sao paulo,SP
104.43,rio de janeiro,RJ,mogi guacu,SP
104.42,rio de janeiro,RJ,sao jose do rio preto,SP
104.41,sao paulo,SP,uba,MG
104.37,santarem,PA,santo andre,SP
104.26,rio negro,PR,california,PR
104.23,rio de janeiro,RJ,sao jose do rio preto,SP
104.22,sao paulo,SP,teresopolis,RJ
104.16,catende,PE,lauro de freitas,BA
104.12,braganca paulista,SP,arapongas,PR
104.09,belo horizonte,MG,pedreira,SP
104.08,sao goncalo,RJ,sao paulo,SP
104.0,atibaia,SP,arapongas,PR
104.0,atibaia,SP,arapongas,PR
104.0,guarulhos,SP,arapongas,PR
103.89,maceio,AL,brasilia,DF
103.62,belo horizonte,MG,sorocaba,SP
103.62,belo horizonte,MG,sorocaba,SP
103.55,cachoeiro de itapemirim,ES,sao jose do rio preto,SP
103.38,joao pessoa,PB,campo limpo paulista,SP
103.37,paraisopolis,MG,videira,SC
103.25,sao luis,MA,sao jose do rio preto,SP
103.25,itaporanga d'ajuda,SE,sao jose do rio preto,SP
103.25,feliz deserto,AL,sao jose do rio preto,SP
103.22,praia grande,SP,teresopolis,RJ
103.12,palmas,TO,monte siao,MG
102.94,linhares,ES,sao paulo,SP
102.94,linhares,ES,sao paulo,SP
102.81,santa cruz,RN,itaquaquecetuba,SP
102.77,maringa,PR,itaquaquecetuba,SP
102.77,maringa,PR,itaquaquecetuba,SP
102.77,maringa,PR,itaquaquecetuba,SP
102.74,toledo,PR,porto alegre,RS
102.7,sao paulo,SP,sao paulo,SP
102.7,leme,SP,curitiba,PR
102.69,penedo,AL,sao paulo,SP
102.63,uberaba,MG,campinas,SP
102.63,uberlandia,MG,campinas,SP
102.57,teresopolis,RJ,jaci,SP
102.55,birigui,SP,sao paulo,SP
102.47,sao luis,MA,uberlandia,MG
102.46,caratinga,MG,santo andre,SP
102.38,caxias do sul,RS,piracicaba,SP
